user_id	user_name	time	location	text
17133301	Karen D Chappell	Fri Sep 08 01:33:48 +0000 2017	Orlando, Florida	RT @AltUSPressSec: This is O.G. Spicey. I will be resuming control of the account for duration of Hurricane Irma to coordinate &amp; assist wit…
784813688129662977	Deplorable lynn	Fri Sep 08 01:33:48 +0000 2017	Ohio, USA	RT @Corrynmb: Obama put the Clintons in charge of Haiti relief &amp; they embezzled millions!No way I would trust this! #Harvey https://t.co/12…
879830160643686400	#DefendDACA	Fri Sep 08 01:33:48 +0000 2017	alexis + em + vin + malia	"RT @glendonfrancis: Hurricane Irma also demolished the island of St. Maarten. The folks their need assistance. 
https://t.co/K0KVG1id4k"
1175284032	St Lucia News Online	Fri Sep 08 01:33:48 +0000 2017	Bonneterre, Gros Islet	"CCRIF to make payouts totalling US$15.6 million (EC$42 million) after Hurricane Irma
https://t.co/3pDEWK5Jny https://t.co/GPAku1sodW"
2906978162	Pako Buelna	Fri Sep 08 01:33:48 +0000 2017	Mexicali, Baja California	RT @GoogleFacts: This is how devastating the flooding in Houston has been to Interstate 10 https://t.co/qK38DJXu6Z
24927249	Janet DeVito	Fri Sep 08 01:33:48 +0000 2017	Exactly where I want to be!	@RumShopRyan Is this Irma Hurricane? Or Ivan?  Not sure if that is from years ago
3350980984	™	Fri Sep 08 01:33:48 +0000 2017		I liked a @YouTube video https://t.co/UXN7aRRu7o WE'RE NOT EVACUATING...... HURRICANE IRMA IS COMING SOON ??
335684090	GERENTE COMPRAS	Fri Sep 08 01:33:48 +0000 2017		RT @CNN: Four people have died in the US Virgin Islands as a result of Hurricane #Irma, a spokesman for the government says… 
4852212666	lil cardiac arrest	Fri Sep 08 01:33:48 +0000 2017		I've watched every episode of Harvey birdman attorney at law like 8 times accept for the last one. I'm watching that one on my death bed
24403073	Gayle Anderson	Fri Sep 08 01:33:48 +0000 2017		"RT @ktlagayle: KJLH Hurricane Harvey Donation Collection,Friday, 9/8
,161 North La Brea
Inglewood.Donations going directly to affe… "
759197754044416004	#WomenWhoMAGA??	Fri Sep 08 01:33:48 +0000 2017	Freedom, USA	RT @SteveBannen: Paul Ryan worked with Democrats to elect Hillary Clinton while Donald Trump works with Democrats to deliver aid to Hurrica…
880070320501161984	Amber Lee B.	Fri Sep 08 01:33:48 +0000 2017		Was he there for my mammogram scare...no no no Hurricane blowing in, but I sure dont see him...no no no
975217231	JohnFor Trump-MAGA?	Fri Sep 08 01:33:48 +0000 2017	Where Freedom Rings 	"RT @AD_WHITMAN: Hurricane Andrew (1992, inset) &amp; Hurricane Irma (today), at scale.

?Please be safe if you're in the path of this!?
 https:…"
763456606000394240	BadAss Meetings	Fri Sep 08 01:33:48 +0000 2017	Columbus, Ohio	RT @mashable: How one nonprofit is empowering people with disabilities in Hurricane Irma's path https://t.co/H3lWeBlVVt
905967033170440192	BUY FOLLO?ERS :wbw	Fri Sep 08 01:33:48 +0000 2017		RT @Original_Sels: Your president has the rhetoric of a 4th grader https://t.co/P6YBd5bDSw
899050412887556096	god hates sarah	Fri Sep 08 01:33:48 +0000 2017	Kuna, ID	"RT @lordflaconegro: Texas: We just had the worst hurricane in recorded history

Florida: Hold my beer https://t.co/n76a6nNNkZ"
